============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           Apr 10 2025  09:35:17 pm
  Module:                 topSystolicArray
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

           Instance                  Module       Cell Count  Cell Area  Net Area   Total Area       Wireload      
-------------------------------------------------------------------------------------------------------------------
topSystolicArray                                      289420 688076.564     0.000   688076.564 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[15].u_pe  pe_31                     958   2215.780     0.000     2215.780 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[15].u_pe  pe_15                     957   2215.514     0.000     2215.514 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[14].u_pe  pe_14                     971   2320.584     0.000     2320.584 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[8].u_pe   pe_8                      974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[1].u_pe  pe_241                    954   2214.184     0.000     2214.184 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[0].u_pe  pe_240                    957   2215.514     0.000     2215.514 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[2].u_pe  pe_226                    980   2321.648     0.000     2321.648 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[1].u_pe  pe_225                    980   2325.372     0.000     2325.372 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[0].u_pe  pe_224                    973   2325.638     0.000     2325.638 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[2].u_pe  pe_210                    972   2322.978     0.000     2322.978 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[1].u_pe  pe_209                    980   2325.372     0.000     2325.372 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[0].u_pe  pe_208                    969   2323.510     0.000     2323.510 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[2].u_pe  pe_194                    971   2322.712     0.000     2322.712 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[11].u_pe  pe_91                     962   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[12].u_pe  pe_92                     963   2320.850     0.000     2320.850 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[11].u_pe  pe_107                    980   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[13].u_pe pe_253                    946   2213.918     0.000     2213.918 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[11].u_pe pe_251                    954   2214.184     0.000     2214.184 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[12].u_pe pe_236                    969   2319.786     0.000     2319.786 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[11].u_pe pe_235                    972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[11].u_pe pe_219                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[12].u_pe pe_252                    944   2212.854     0.000     2212.854 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[15].u_pe pe_223                    956   2214.982     0.000     2214.982 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[14].u_pe pe_222                    972   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[13].u_pe pe_221                    974   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[15].u_pe pe_207                    956   2217.110     0.000     2217.110 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[14].u_pe pe_206                    972   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[13].u_pe pe_205                    972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[12].u_pe pe_204                    973   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[11].u_pe pe_203                    974   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[15].u_pe pe_191                    956   2217.110     0.000     2217.110 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[14].u_pe pe_190                    972   2324.574     0.000     2324.574 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[13].u_pe pe_189                    972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[12].u_pe pe_188                    973   2325.372     0.000     2325.372 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[11].u_pe pe_187                    974   2325.904     0.000     2325.904 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[12].u_pe pe_172                    969   2321.648     0.000     2321.648 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[11].u_pe pe_171                    962   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[11].u_pe  pe_139                    969   2319.786     0.000     2319.786 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[10].u_pe  pe_138                    963   2322.712     0.000     2322.712 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[15].u_pe pe_255                    943   2110.178     0.000     2110.178 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[14].u_pe pe_254                    958   2215.780     0.000     2215.780 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[15].u_pe pe_239                    956   2214.982     0.000     2214.982 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[14].u_pe pe_238                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[12].u_pe pe_220                    963   2320.850     0.000     2320.850 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[9].u_pe   pe_105                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[7].u_pe   pe_103                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[10].u_pe  pe_90                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[9].u_pe   pe_89                     962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[11].u_pe  pe_75                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[10].u_pe  pe_74                     962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[15].u_pe pe_175                    956   2214.982     0.000     2214.982 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[14].u_pe pe_174                    972   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[13].u_pe pe_173                    974   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[15].u_pe  pe_159                    956   2217.110     0.000     2217.110 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[14].u_pe  pe_158                    972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[13].u_pe  pe_157                    972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[12].u_pe  pe_156                    969   2321.648     0.000     2321.648 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[11].u_pe  pe_155                    972   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[10].u_pe  pe_154                    962   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[15].u_pe  pe_143                    947   2216.578     0.000     2216.578 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[10].u_pe  pe_122                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[9].u_pe   pe_73                     974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[13].u_pe pe_237                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[12].u_pe  pe_140                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[8].u_pe   pe_104                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[8].u_pe   pe_88                     973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[7].u_pe   pe_87                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[8].u_pe   pe_72                     969   2319.786     0.000     2319.786 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[7].u_pe   pe_71                     970   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[14].u_pe  pe_142                    970   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[13].u_pe  pe_141                    971   2322.446     0.000     2322.446 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[15].u_pe  pe_127                    956   2214.982     0.000     2214.982 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[14].u_pe  pe_126                    980   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[13].u_pe  pe_125                    980   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[12].u_pe  pe_124                    973   2323.510     0.000     2323.510 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[11].u_pe  pe_123                    982   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[15].u_pe  pe_111                    964   2217.376     0.000     2217.376 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[14].u_pe  pe_110                    980   2321.648     0.000     2321.648 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[13].u_pe  pe_109                    980   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[12].u_pe  pe_108                    969   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[10].u_pe  pe_106                    962   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[3].u_pe   pe_99                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[2].u_pe   pe_98                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[1].u_pe   pe_97                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[0].u_pe   pe_96                     973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[3].u_pe   pe_83                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[2].u_pe   pe_82                     972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[1].u_pe   pe_81                     972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[0].u_pe   pe_80                    1000   2339.736     0.000     2339.736 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[1].u_pe   pe_65                     997   2334.682     0.000     2334.682 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[0].u_pe   pe_64                    1002   2340.800     0.000     2340.800 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[4].u_pe   pe_52                     962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[1].u_pe   pe_49                     999   2335.746     0.000     2335.746 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[0].u_pe   pe_48                     996   2337.608     0.000     2337.608 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[6].u_pe   pe_22                     999   2336.012     0.000     2336.012 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[5].u_pe   pe_21                     974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[6].u_pe   pe_6                      970   2324.574     0.000     2324.574 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[5].u_pe   pe_5                      971   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[3].u_pe   pe_3                      971   2320.584     0.000     2320.584 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[3].u_pe   pe_147                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[4].u_pe   pe_132                    969   2319.786     0.000     2319.786 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[3].u_pe   pe_131                    969   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[2].u_pe   pe_130                    963   2322.712     0.000     2322.712 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[5].u_pe   pe_53                     974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[6].u_pe   pe_38                     972   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[5].u_pe   pe_37                     972   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[4].u_pe   pe_36                     974   2323.510     0.000     2323.510 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[4].u_pe   pe_20                     974   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[4].u_pe   pe_4                      971   2322.446     0.000     2322.446 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[2].u_pe  pe_162                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[1].u_pe  pe_161                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[0].u_pe  pe_160                    973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[2].u_pe   pe_146                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[1].u_pe   pe_145                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[0].u_pe   pe_144                    973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[1].u_pe   pe_129                    970   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[0].u_pe   pe_128                    975   2322.978     0.000     2322.978 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[5].u_pe   pe_117                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[2].u_pe   pe_114                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[1].u_pe   pe_113                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
